mc	mn	mc_onset	mn_onset	timesig	staff	voice	label	offset_x	offset_y	offset	volta	alt_label	globalkey	localkey	pedal	chord	special	numeral	form	figbass	changes	relativeroot	cadence	phraseend	chord_type	globalkey_is_minor	localkey_is_minor	chord_tones	added_tones	root	bass_note	n_colored	n_untouched	count_ratio	dur_colored	dur_untouched	dur_ratio
135	131	3/4	3/4	4/4	2	1	V(#964)						d	i	V	V(#964)		V			#964				M	1	1	3, 2, -1	5	3	3	0	6	0.0	0.0	0.75	0.0
136	132	0	0	4/4	2	1	V						d	i	V	V		V							M	1	1	3, 7, 4		3	3	0	12	0.0	0.0	1.5	0.0
136	132	1/2	1/2	4/4	2	1	V(64)						d	i	V	V(64)		V			64				M	1	1	3, 2, -1		3	3	1	5	0.16666666666666666	0.125	0.625	0.16666666666666666
136	132	3/4	3/4	4/4	2	1	V(#964)	0.142287	-5.44281	/			d	i	V	V(#964)		V			#964				M	1	1	3, 2, -1	5	3	3	0	6	0.0	0.0	0.75	0.0
137	133	0	0	4/4	2	1	V						d	i	V	V		V							M	1	1	3, 7, 4		3	3	0	6	0.0	0.0	6.0	0.0
138	134	0	0	4/4	2	1	V(64)						d	i	V	V(64)		V			64				M	1	1	3, 2, -1		3	3	0	5	0.0	0.0	5.0	0.0
139	135	0	0	4/4	2	1	V						d	i	V	V		V							M	1	1	3, 7, 4		3	3	0	5	0.0	0.0	5.0	0.0
140	136	0	0	4/4	2	1	VI6						d	i	V	VI6		VI		6					M	1	1	2, -1, -2		-2	2	2	3	0.4	2.0	3.0	0.4
141	137	0	0	4/4	2	1	V]						d	i	V	V		V							M	1	1	3, 7, 4		3	3	0	8	0.0	0.0	6.0	0.0
143	139	0	0	4/4	2	1	VI					iv6	d	i		VI		VI							M	1	1	-2, 2, -1		-2	-2	0	2	0.0	0.0	1.5	0.0
143	139	3/4	3/4	4/4	2	1	V						d	i		V		V							M	1	1	3, 7, 4		3	3	0	2	0.0	0.0	0.5	0.0
144	140	0	0	4/4	2	1	iv					iio6	d	i		iv		iv							m	1	1	1, -2, 2		1	1	0	2	0.0	0.0	0.5	0.0
144	140	1/4	1/4	4/4	2	1	i6						d	i		i6		i		6					m	1	1	-1, 3, 2		2	-1	0	2	0.0	0.0	0.5	0.0
144	140	1/2	1/2	4/4	2	1	bII						d	i		bII		bII							M	1	1	-3, 1, -2		-3	-3	0	2	0.0	0.0	0.5	0.0
144	140	3/4	3/4	4/4	2	1	i						d	i		i		i							m	1	1	2, -1, 3		2	2	0	2	0.0	0.0	0.5	0.0
145	141	0	0	4/4	2	1	V6						d	i		V6		V		6					M	1	1	7, 4, 3		3	7	0	2	0.0	0.0	0.5	0.0
145	141	1/4	1/4	4/4	2	1	iv					iio6	d	i		iv		iv							m	1	1	1, -2, 2		1	1	0	2	0.0	0.0	0.5	0.0
145	141	1/2	1/2	4/4	2	1	VI					iv6	d	i		VI		VI							M	1	1	-2, 2, -1		-2	-2	0	2	0.0	0.0	0.5	0.0
145	141	3/4	3/4	4/4	2	1	V						d	i		V		V							M	1	1	3, 7, 4		3	3	0	2	0.0	0.0	0.5	0.0
146	142	0	0	4/4	2	1	iv					iio6	d	i		iv		iv							m	1	1	1, -2, 2		1	1	0	2	0.0	0.0	0.5	0.0
146	142	1/4	1/4	4/4	2	1	i6						d	i		i6		i		6					m	1	1	-1, 3, 2		2	-1	0	2	0.0	0.0	0.5	0.0
146	142	1/2	1/2	4/4	2	1	bII						d	i		bII		bII							M	1	1	-3, 1, -2		-3	-3	0	2	0.0	0.0	0.5	0.0
146	142	3/4	3/4	4/4	2	1	i						d	i		i		i							m	1	1	2, -1, 3		2	2	0	2	0.0	0.0	0.5	0.0
147	143	0	0	4/4	2	1	V6}{						d	i		V6		V		6				}{	M	1	1	7, 4, 3		3	7	5	14	0.2631578947368421	0.65625	6.34375	0.09375
150	146	0	0	4/4	2	1	i						d	i		i		i							m	1	1	2, -1, 3		2	2	2	1	0.6666666666666666	0.75	0.25	0.75
151	147	0	0	4/4	2	1	#viio6						d	i		#viio6		#vii	o	6					o	1	1	4, 1, 7		7	4	2	2	0.5	0.5	0.5	0.5
