mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	dynamics	articulation	tempo	qpm	tempo_visible	slur	decrescendo_hairpin	crescendo_line
20	18	273/4	273/4	0.5		0	0	Chord	4/4	2	1	1/8		1/8	1	159		articStaccatoBelow						
20	18	277/4	277/4	0.5		1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	160		articStaccatoBelow						
20	18	281/4	281/4	2.0		1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	161								
21	19	289/4	289/4	0.0		0	0	Dynamic	4/4	1	1	0					p					8		
21	19	289/4	289/4	1.0		0	0	Chord	4/4	1	1	1/4		1/4	1	162						8, 9		
21	19	293/4	293/4	1.0		1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	163						8, 9		
21	19	297/4	297/4	1.0		1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	164						8, 9		
21	19	301/4	301/4	1.0		3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	165								
21	19	289/4	289/4	1.0		0	0	Chord	4/4	1	3	1/4		1/4	1	166								
21	19	293/4	293/4	1.0		1/4	1/4	Chord	4/4	1	3	1/4		1/4	1	167								
21	19	297/4	297/4	1.0		1/2	1/2	Chord	4/4	1	3	1/4		1/4	1	168								
21	19	301/4	301/4	1.0		3/4	3/4	Chord	4/4	1	3	1/4		1/4	1	169								
21	19	289/4	289/4	1.0		0	0	Chord	4/4	2	1	1/4		1/4	1	170						10		
21	19	293/4	293/4	1.0		1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	171						10		
21	19	297/4	297/4	1.0		1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	172						10		
21	19	301/4	301/4	1.0		3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	173								
22	20	305/4	305/4	0.5		0	0	Chord	4/4	1	1	1/8		1/8	1	174		articStaccatoAbove						
22	20	309/4	309/4	0.5		1/4	1/4	Chord	4/4	1	1	1/8		1/8	1	175		articStaccatoAbove						
22	20	313/4	313/4	0.5		1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	176		articStaccatoAbove						
22	20	305/4	305/4	0.5		0	0	Chord	4/4	1	2	1/8		1/8	1	177		articStaccatoAbove						
22	20	309/4	309/4	0.5		1/4	1/4	Chord	4/4	1	2	1/8		1/8	1	178		articStaccatoAbove						
22	20	313/4	313/4	0.5		1/2	1/2	Chord	4/4	1	2	1/8		1/8	1	179		articStaccatoAbove						
22	20	305/4	305/4	0.5		0	0	Chord	4/4	2	1	1/8		1/8	1	180		articStaccatoBelow						
22	20	309/4	309/4	0.5		1/4	1/4	Chord	4/4	2	1	1/8		1/8	1	181		articStaccatoBelow						
22	20	313/4	313/4	0.5		1/2	1/2	Chord	4/4	2	1	1/8		1/8	1	182		articStaccatoBelow						
23	20	80	80	0.0		0	15/16	Dynamic	4/4	1	1	0					p							
23	20	80	80	0.25		0	15/16	Chord	4/4	2	1	1/16		1/16	1	183								
24	21	323/4	323/4	1.0		1/8	1/8	Chord	4/4	1	1	1/4		1/4	1	184								
24	21	327/4	327/4	1.0		3/8	3/8	Chord	4/4	1	1	1/4		1/4	1	185								
24	21	331/4	331/4	1.0		5/8	5/8	Chord	4/4	1	1	1/4		1/4	1	186								
24	21	335/4	335/4	0.5		7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	187								
24	21	321/4	321/4	0.0		0	0	Dynamic	4/4	2	1	0					other-dynamics							
24	21	321/4	321/4	1.0		0	0	Chord	4/4	2	1	1/4		1/4	1	188						11		
24	21	325/4	325/4	1.0		1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	189						11		
24	21	329/4	329/4	1.0		1/2	1/2	Chord	4/4	2	1	1/4		1/4	1	190						11		
24	21	333/4	333/4	1.0		3/4	3/4	Chord	4/4	2	1	1/4		1/4	1	191						11		
25	22	337/4	337/4	0.5		0	0	Chord	4/4	1	1	1/8		1/8	1	192								
25	22	339/4	339/4	1.0		1/8	1/8	Chord	4/4	1	1	1/4		1/4	1	193								
25	22	343/4	343/4	1.0		3/8	3/8	Chord	4/4	1	1	1/4		1/4	1	194								
25	22	347/4	347/4	0.5		5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	195								
25	22	349/4	349/4	0.5		3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	196								
25	22	351/4	351/4	0.5		7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	197								
25	22	337/4	337/4	1.0		0	0	Chord	4/4	2	1	1/4		1/4	1	198						11		
25	22	341/4	341/4	1.0		1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	199						11		
25	22	345/4	345/4	2.0		1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	200								
26	23	355/4	355/4	1.0		1/8	1/8	Chord	4/4	1	1	1/4		1/4	1	201								
26	23	359/4	359/4	1.0		3/8	3/8	Chord	4/4	1	1	1/4		1/4	1	202								
26	23	363/4	363/4	1.0		5/8	5/8	Chord	4/4	1	1	1/4		1/4	1	203								
26	23	367/4	367/4	0.5		7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	204								
26	23	353/4	353/4	1.0		0	0	Chord	4/4	2	1	1/4		1/4	1	205						12		
26	23	357/4	357/4	1.0		1/4	1/4	Chord	4/4	2	1	1/4		1/4	1	206						12		
