mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	slur	decrescendo_hairpin	crescendo_line	diminuendo_line	crescendo_hairpin
38	38	111	111	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	238								
38	38	113	113	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	239								
39	39	114	114	2.0	0	0	Chord	3/4	1	1	1/2	1/2	1	240				42				
39	39	116	116	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	241				42				
39	39	233/2	233/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	242				42				
39	39	114	114	2.0	0	0	Chord	3/4	1	2	1/2	1/2	1	243								
39	39	116	116	1.0	1/2	1/2	Chord	3/4	1	2	1/4	1/4	1	244								
39	39	114	114	2.0	0	0	Chord	3/4	2	1	1/2	1/2	1	245				43				
39	39	116	116	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	246				43				
39	39	114	114	3.0	0	0	Chord	3/4	2	2	3/4	1/2	3/2	247								
40	40	117	117	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	248			articStaccatoAbove					
40	40	119	119	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	249								
40	40	117	117	1.0	0	0	Chord	3/4	1	2	1/4	1/4	1	250								
40	40	117	117	1.0	0	0	Chord	3/4	2	1	1/4	1/4	1	251			articStaccatoAbove					
41	41	120	120	1.5	0	0	Chord	3/4	1	1	3/8	1/4	3/2	252				44				
41	41	243/2	243/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	253				44				
41	41	122	122	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	254								
41	41	120	120	1.5	0	0	Chord	3/4	2	1	3/8	1/4	3/2	255				45				
41	41	120	120	1.5	0	0	Chord	3/4	2	2	3/8	1/4	3/2	256								
41	41	243/2	243/2	0.5	3/8	3/8	Chord	3/4	2	2	1/8	1/8	1	257								
41	41	122	122	1.0	1/2	1/2	Chord	3/4	2	2	1/4	1/4	1	258								
42	42	123	123	0.0	0	0	Spanner	3/4	1	1	0									1		
42	42	123	123	1.5	0	0	Chord	3/4	1	1	3/8	1/4	3/2	259	<			46		1		
42	42	249/2	249/2	0.0	3/8	3/8	Spanner	3/4	1	1	0							46				
42	42	249/2	249/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	260				46				
42	42	125	125	1.0	1/2	1/2	Chord	3/4	1	1	1/4	1/4	1	261								
42	42	123	123	1.5	0	0	Chord	3/4	2	1	3/8	1/4	3/2	262				47				
42	42	249/2	249/2	0.5	3/8	3/8	Chord	3/4	2	1	1/8	1/8	1	263				47				
42	42	125	125	1.0	1/2	1/2	Chord	3/4	2	1	1/4	1/4	1	264								
42	42	123	123	3.0	0	0	Chord	3/4	2	2	3/4	1/2	3/2	265								
43	43	126	126	3.0	0	0	Chord	3/4	1	1	3/4	1/2	3/2	266				48				
43	43	126	126	0.0	0	0	Dynamic	3/4	1	2	0					sf						
43	43	126	126	3.0	0	0	Chord	3/4	1	2	3/4	1/2	3/2	267								
43	43	126	126	3.0	0	0	Chord	3/4	2	1	3/4	1/2	3/2	268				49				
44	44	129	129	1.0	0	0	Chord	3/4	1	1	1/4	1/4	1	269				48				
44	44	130	130	0.5	1/4	1/4	Chord	3/4	1	1	1/8	1/8	1	270				48				
44	44	261/2	261/2	0.5	3/8	3/8	Chord	3/4	1	1	1/8	1/8	1	271				48				
44	44	131	131	0.5	1/2	1/2	Chord	3/4	1	1	1/8	1/8	1	272				48				
44	44	263/2	263/2	0.5	5/8	5/8	Chord	3/4	1	1	1/8	1/8	1	273								
