mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	slur	Trill:trill	Ottava:8va	pedal	Pedal_<sym>keyboardPedalPed</sym>	decrescendo_hairpin	crescendo_hairpin
178	173	2141/4	2141/4	0.25	11/16	11/16	Chord	6/8	1	2	1/16		1/16	1	2328										
178	173	534	534	0.0	3/8	3/8	Dynamic	6/8	2	1	0						f								
178	173	534	534	1.5	3/8	3/8	Chord	6/8	2	1	3/8		1/4	3/2	2329										
179	174	1071/2	1071/2	0.25	0	0	Chord	6/8	1	1	1/16		1/16	1	2330										
179	174	2143/4	2143/4	0.25	1/16	1/16	Chord	6/8	1	1	1/16		1/16	1	2331										
179	174	536	536	0.25	1/8	1/8	Chord	6/8	1	1	1/16		1/16	1	2332										
179	174	2145/4	2145/4	0.25	3/16	3/16	Chord	6/8	1	1	1/16		1/16	1	2333										
179	174	1073/2	1073/2	0.25	1/4	1/4	Chord	6/8	1	1	1/16		1/16	1	2334										
179	174	2147/4	2147/4	0.25	5/16	5/16	Chord	6/8	1	1	1/16		1/16	1	2335										
179	174	537	537	0.25	3/8	3/8	Chord	6/8	1	1	1/16		1/16	1	2336										
179	174	2149/4	2149/4	0.25	7/16	7/16	Chord	6/8	1	1	1/16		1/16	1	2337										
179	174	1075/2	1075/2	0.25	1/2	1/2	Chord	6/8	1	1	1/16		1/16	1	2338										
179	174	2151/4	2151/4	0.25	9/16	9/16	Chord	6/8	1	1	1/16		1/16	1	2339										
179	174	538	538	0.25	5/8	5/8	Chord	6/8	1	1	1/16		1/16	1	2340										
179	174	2153/4	2153/4	0.25	11/16	11/16	Chord	6/8	1	1	1/16		1/16	1	2341										
179	174	1071/2	1071/2	0.0	0	0	Dynamic	6/8	2	1	0						sf								
179	174	1071/2	1071/2	1.5	0	0	Chord	6/8	2	1	3/8		1/4	3/2	2342										
179	174	537	537	1.5	3/8	3/8	Chord	6/8	2	1	3/8		1/4	3/2	2343										
180	175	1077/2	1077/2	0.25	0	0	Chord	6/8	1	1	1/16		1/16	1	2344										
180	175	2155/4	2155/4	0.25	1/16	1/16	Chord	6/8	1	1	1/16		1/16	1	2345										
180	175	539	539	0.25	1/8	1/8	Chord	6/8	1	1	1/16		1/16	1	2346										
180	175	2157/4	2157/4	0.25	3/16	3/16	Chord	6/8	1	1	1/16		1/16	1	2347										
180	175	1079/2	1079/2	0.25	1/4	1/4	Chord	6/8	1	1	1/16		1/16	1	2348										
180	175	2159/4	2159/4	0.25	5/16	5/16	Chord	6/8	1	1	1/16		1/16	1	2349										
180	175	540	540	0.25	3/8	3/8	Chord	6/8	1	1	1/16		1/16	1	2350										
180	175	2161/4	2161/4	0.25	7/16	7/16	Chord	6/8	1	1	1/16		1/16	1	2351										
180	175	1081/2	1081/2	0.25	1/2	1/2	Chord	6/8	1	1	1/16		1/16	1	2352										
180	175	2163/4	2163/4	0.25	9/16	9/16	Chord	6/8	1	1	1/16		1/16	1	2353										
180	175	541	541	0.25	5/8	5/8	Chord	6/8	1	1	1/16		1/16	1	2354										
180	175	2165/4	2165/4	0.25	11/16	11/16	Chord	6/8	1	1	1/16		1/16	1	2355										
180	175	1077/2	1077/2	0.0	0	0	Dynamic	6/8	2	1	0						sf								
180	175	1077/2	1077/2	1.5	0	0	Chord	6/8	2	1	3/8		1/4	3/2	2356										
180	175	540	540	1.5	3/8	3/8	Chord	6/8	2	1	3/8		1/4	3/2	2357										
181	176	1083/2	1083/2	0.25	0	0	Chord	6/8	1	1	1/16		1/16	1	2358										
181	176	2167/4	2167/4	0.25	1/16	1/16	Chord	6/8	1	1	1/16		1/16	1	2359										
181	176	542	542	0.25	1/8	1/8	Chord	6/8	1	1	1/16		1/16	1	2360										
181	176	2169/4	2169/4	0.25	3/16	3/16	Chord	6/8	1	1	1/16		1/16	1	2361										
181	176	1085/2	1085/2	0.25	1/4	1/4	Chord	6/8	1	1	1/16		1/16	1	2362										
181	176	2171/4	2171/4	0.25	5/16	5/16	Chord	6/8	1	1	1/16		1/16	1	2363										
181	176	543	543	0.25	3/8	3/8	Chord	6/8	1	1	1/16		1/16	1	2364										
181	176	2173/4	2173/4	0.25	7/16	7/16	Chord	6/8	1	1	1/16		1/16	1	2365										
181	176	1087/2	1087/2	0.25	1/2	1/2	Chord	6/8	1	1	1/16		1/16	1	2366										
181	176	2175/4	2175/4	0.25	9/16	9/16	Chord	6/8	1	1	1/16		1/16	1	2367										
181	176	544	544	0.25	5/8	5/8	Chord	6/8	1	1	1/16		1/16	1	2368										
181	176	2177/4	2177/4	0.25	11/16	11/16	Chord	6/8	1	1	1/16		1/16	1	2369										
181	176	1083/2	1083/2	0.0	0	0	Dynamic	6/8	2	1	0						sf								
181	176	1083/2	1083/2	1.5	0	0	Chord	6/8	2	1	3/8		1/4	3/2	2370										
181	176	543	543	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	2371										
181	176	544	544	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	2372										
182	177	1089/2	1089/2	0.25	0	0	Chord	6/8	1	1	1/16		1/16	1	2373										
182	177	2179/4	2179/4	0.25	1/16	1/16	Chord	6/8	1	1	1/16		1/16	1	2374										
182	177	545	545	0.25	1/8	1/8	Chord	6/8	1	1	1/16		1/16	1	2375										
182	177	2181/4	2181/4	0.25	3/16	3/16	Chord	6/8	1	1	1/16		1/16	1	2376										
182	177	1091/2	1091/2	0.25	1/4	1/4	Chord	6/8	1	1	1/16		1/16	1	2377										
182	177	2183/4	2183/4	0.25	5/16	5/16	Chord	6/8	1	1	1/16		1/16	1	2378										
182	177	546	546	0.25	3/8	3/8	Chord	6/8	1	1	1/16		1/16	1	2379										
182	177	2185/4	2185/4	0.25	7/16	7/16	Chord	6/8	1	1	1/16		1/16	1	2380										
182	177	1093/2	1093/2	0.25	1/2	1/2	Chord	6/8	1	1	1/16		1/16	1	2381										
182	177	2187/4	2187/4	0.25	9/16	9/16	Chord	6/8	1	1	1/16		1/16	1	2382										
182	177	547	547	0.25	5/8	5/8	Chord	6/8	1	1	1/16		1/16	1	2383										
182	177	2189/4	2189/4	0.25	11/16	11/16	Chord	6/8	1	1	1/16		1/16	1	2384										
182	177	546	546	1.5	3/8	3/8	Chord	6/8	1	2	3/8		1/4	3/2	2385										
182	177	1089/2	1089/2	0.5	0	0	Chord	6/8	2	1	1/8		1/8	1	2386										
182	177	545	545	0.5	1/8	1/8	Chord	6/8	2	1	1/8		1/8	1	2387										
182	177	1091/2	1091/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	2388										
182	177	546	546	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	2389										
183	178	1095/2	1095/2	0.0	0	0	Dynamic	6/8	1	1	0						sf								
183	178	1095/2	1095/2	0.25	0	0	Chord	6/8	1	1	1/16		1/16	1	2390										
183	178	2191/4	2191/4	0.25	1/16	1/16	Chord	6/8	1	1	1/16		1/16	1	2391										
183	178	548	548	0.25	1/8	1/8	Chord	6/8	1	1	1/16		1/16	1	2392										
183	178	2193/4	2193/4	0.25	3/16	3/16	Chord	6/8	1	1	1/16		1/16	1	2393										
183	178	1097/2	1097/2	0.25	1/4	1/4	Chord	6/8	1	1	1/16		1/16	1	2394										
183	178	2195/4	2195/4	0.25	5/16	5/16	Chord	6/8	1	1	1/16		1/16	1	2395										
183	178	549	549	0.25	3/8	3/8	Chord	6/8	1	1	1/16		1/16	1	2396										
183	178	2197/4	2197/4	0.25	7/16	7/16	Chord	6/8	1	1	1/16		1/16	1	2397										
183	178	1099/2	1099/2	0.25	1/2	1/2	Chord	6/8	1	1	1/16		1/16	1	2398										
183	178	2199/4	2199/4	0.25	9/16	9/16	Chord	6/8	1	1	1/16		1/16	1	2399										
183	178	550	550	0.25	5/8	5/8	Chord	6/8	1	1	1/16		1/16	1	2400										
183	178	2201/4	2201/4	0.25	11/16	11/16	Chord	6/8	1	1	1/16		1/16	1	2401										
183	178	1095/2	1095/2	1.5	0	0	Chord	6/8	2	1	3/8		1/4	3/2	2402										
183	178	549	549	1.5	3/8	3/8	Chord	6/8	2	1	3/8		1/4	3/2	2403										
184	179	1101/2	1101/2	0.0	0	0	Dynamic	6/8	1	1	0						sf								
184	179	1101/2	1101/2	0.25	0	0	Chord	6/8	1	1	1/16		1/16	1	2404										
184	179	2203/4	2203/4	0.25	1/16	1/16	Chord	6/8	1	1	1/16		1/16	1	2405										
184	179	551	551	0.25	1/8	1/8	Chord	6/8	1	1	1/16		1/16	1	2406										
184	179	2205/4	2205/4	0.25	3/16	3/16	Chord	6/8	1	1	1/16		1/16	1	2407										
184	179	1103/2	1103/2	0.25	1/4	1/4	Chord	6/8	1	1	1/16		1/16	1	2408										
184	179	2207/4	2207/4	0.25	5/16	5/16	Chord	6/8	1	1	1/16		1/16	1	2409										
184	179	552	552	0.25	3/8	3/8	Chord	6/8	1	1	1/16		1/16	1	2410										
184	179	2209/4	2209/4	0.25	7/16	7/16	Chord	6/8	1	1	1/16		1/16	1	2411										
184	179	1105/2	1105/2	0.25	1/2	1/2	Chord	6/8	1	1	1/16		1/16	1	2412										
184	179	2211/4	2211/4	0.25	9/16	9/16	Chord	6/8	1	1	1/16		1/16	1	2413										
184	179	553	553	0.25	5/8	5/8	Chord	6/8	1	1	1/16		1/16	1	2414										
184	179	2213/4	2213/4	0.25	11/16	11/16	Chord	6/8	1	1	1/16		1/16	1	2415										
184	179	1101/2	1101/2	1.5	0	0	Chord	6/8	2	1	3/8		1/4	3/2	2416										
184	179	552	552	1.5	3/8	3/8	Chord	6/8	2	1	3/8		1/4	3/2	2417										
185	180	1107/2	1107/2	0.0	0	0	Dynamic	6/8	1	1	0						other-dynamics								
185	180	1107/2	1107/2	0.25	0	0	Chord	6/8	1	1	1/16		1/16	1	2418										
185	180	2215/4	2215/4	0.25	1/16	1/16	Chord	6/8	1	1	1/16		1/16	1	2419										
185	180	554	554	0.25	1/8	1/8	Chord	6/8	1	1	1/16		1/16	1	2420										
185	180	2217/4	2217/4	0.25	3/16	3/16	Chord	6/8	1	1	1/16		1/16	1	2421										
185	180	1109/2	1109/2	0.25	1/4	1/4	Chord	6/8	1	1	1/16		1/16	1	2422										
185	180	2219/4	2219/4	0.25	5/16	5/16	Chord	6/8	1	1	1/16		1/16	1	2423										
185	180	555	555	0.25	3/8	3/8	Chord	6/8	1	1	1/16		1/16	1	2424										
185	180	2221/4	2221/4	0.25	7/16	7/16	Chord	6/8	1	1	1/16		1/16	1	2425										
185	180	1111/2	1111/2	0.25	1/2	1/2	Chord	6/8	1	1	1/16		1/16	1	2426										
185	180	2223/4	2223/4	0.25	9/16	9/16	Chord	6/8	1	1	1/16		1/16	1	2427										
185	180	556	556	0.25	5/8	5/8	Chord	6/8	1	1	1/16		1/16	1	2428										
185	180	2225/4	2225/4	0.25	11/16	11/16	Chord	6/8	1	1	1/16		1/16	1	2429										
185	180	1107/2	1107/2	1.5	0	0	Chord	6/8	2	1	3/8		1/4	3/2	2430										
185	180	555	555	1.0	3/8	3/8	Chord	6/8	2	1	1/4		1/4	1	2431										
185	180	556	556	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	2432										
186	181	1113/2	1113/2	0.25	0	0	Chord	6/8	1	1	1/16		1/16	1	2433										
186	181	2227/4	2227/4	0.25	1/16	1/16	Chord	6/8	1	1	1/16		1/16	1	2434										
186	181	557	557	0.25	1/8	1/8	Chord	6/8	1	1	1/16		1/16	1	2435										
186	181	2229/4	2229/4	0.25	3/16	3/16	Chord	6/8	1	1	1/16		1/16	1	2436										
186	181	1115/2	1115/2	0.25	1/4	1/4	Chord	6/8	1	1	1/16		1/16	1	2437										
186	181	2231/4	2231/4	0.25	5/16	5/16	Chord	6/8	1	1	1/16		1/16	1	2438										
186	181	558	558	0.25	3/8	3/8	Chord	6/8	1	1	1/16		1/16	1	2439										
186	181	2233/4	2233/4	0.25	7/16	7/16	Chord	6/8	1	1	1/16		1/16	1	2440										
186	181	1117/2	1117/2	0.25	1/2	1/2	Chord	6/8	1	1	1/16		1/16	1	2441										
186	181	2235/4	2235/4	0.25	9/16	9/16	Chord	6/8	1	1	1/16		1/16	1	2442										
186	181	559	559	0.25	5/8	5/8	Chord	6/8	1	1	1/16		1/16	1	2443										
186	181	2237/4	2237/4	0.25	11/16	11/16	Chord	6/8	1	1	1/16		1/16	1	2444										
186	181	1113/2	1113/2	1.5	0	0	Chord	6/8	2	1	3/8		1/4	3/2	2445										
186	181	558	558	1.5	3/8	3/8	Chord	6/8	2	1	3/8		1/4	3/2	2446										
187	182	1119/2	1119/2	0.25	0	0	Chord	6/8	1	1	1/16		1/16	1	2447										
187	182	2239/4	2239/4	0.25	1/16	1/16	Chord	6/8	1	1	1/16		1/16	1	2448										
187	182	560	560	0.25	1/8	1/8	Chord	6/8	1	1	1/16		1/16	1	2449										
187	182	2241/4	2241/4	0.25	3/16	3/16	Chord	6/8	1	1	1/16		1/16	1	2450										
187	182	1121/2	1121/2	0.25	1/4	1/4	Chord	6/8	1	1	1/16		1/16	1	2451										
187	182	2243/4	2243/4	0.25	5/16	5/16	Chord	6/8	1	1	1/16		1/16	1	2452										
187	182	561	561	0.25	3/8	3/8	Chord	6/8	1	1	1/16		1/16	1	2453										
187	182	2245/4	2245/4	0.25	7/16	7/16	Chord	6/8	1	1	1/16		1/16	1	2454										
187	182	1123/2	1123/2	0.25	1/2	1/2	Chord	6/8	1	1	1/16		1/16	1	2455										
187	182	2247/4	2247/4	0.25	9/16	9/16	Chord	6/8	1	1	1/16		1/16	1	2456										
187	182	562	562	0.25	5/8	5/8	Chord	6/8	1	1	1/16		1/16	1	2457										
187	182	2249/4	2249/4	0.25	11/16	11/16	Chord	6/8	1	1	1/16		1/16	1	2458										
187	182	1119/2	1119/2	1.5	0	0	Chord	6/8	2	1	3/8		1/4	3/2	2459										
187	182	561	561	0.5	3/8	3/8	Chord	6/8	2	1	1/8		1/8	1	2460										
187	182	1123/2	1123/2	0.5	1/2	1/2	Chord	6/8	2	1	1/8		1/8	1	2461										
187	182	562	562	0.5	5/8	5/8	Chord	6/8	2	1	1/8		1/8	1	2462										
188	183	1125/2	1125/2	0.25	0	0	Chord	6/8	1	1	1/16		1/16	1	2463										
188	183	2251/4	2251/4	0.25	1/16	1/16	Chord	6/8	1	1	1/16		1/16	1	2464										
188	183	563	563	0.25	1/8	1/8	Chord	6/8	1	1	1/16		1/16	1	2465										
188	183	2253/4	2253/4	0.25	3/16	3/16	Chord	6/8	1	1	1/16		1/16	1	2466										
188	183	1127/2	1127/2	0.25	1/4	1/4	Chord	6/8	1	1	1/16		1/16	1	2467										
188	183	2255/4	2255/4	0.25	5/16	5/16	Chord	6/8	1	1	1/16		1/16	1	2468										
188	183	564	564	1.5	3/8	3/8	Chord	6/8	1	1	3/8		1/4	3/2	2469										
188	183	1125/2	1125/2	1.0	0	0	Chord	6/8	2	1	1/4		1/4	1	2470										
188	183	1127/2	1127/2	0.5	1/4	1/4	Chord	6/8	2	1	1/8		1/8	1	2471										
188	183	564	564	0.25	3/8	3/8	Chord	6/8	2	1	1/16		1/16	1	2472										
188	183	2257/4	2257/4	0.25	7/16	7/16	Chord	6/8	2	1	1/16		1/16	1	2473										
188	183	1129/2	1129/2	0.25	1/2	1/2	Chord	6/8	2	1	1/16		1/16	1	2474										
188	183	2259/4	2259/4	0.25	9/16	9/16	Chord	6/8	2	1	1/16		1/16	1	2475										
188	183	565	565	0.25	5/8	5/8	Chord	6/8	2	1	1/16		1/16	1	2476										
188	183	2261/4	2261/4	0.25	11/16	11/16	Chord	6/8	2	1	1/16		1/16	1	2477										
189	184	1131/2	1131/2	1.5	0	0	Chord	6/8	1	1	3/8		1/4	3/2	2478										
189	184	567	567	1.5	3/8	3/8	Chord	6/8	1	1	3/8		1/4	3/2	2479										
189	184	1131/2	1131/2	0.25	0	0	Chord	6/8	2	1	1/16		1/16	1	2480										
189	184	2263/4	2263/4	0.25	1/16	1/16	Chord	6/8	2	1	1/16		1/16	1	2481										
189	184	566	566	0.25	1/8	1/8	Chord	6/8	2	1	1/16		1/16	1	2482										
189	184	2265/4	2265/4	0.25	3/16	3/16	Chord	6/8	2	1	1/16		1/16	1	2483										
189	184	1133/2	1133/2	0.25	1/4	1/4	Chord	6/8	2	1	1/16		1/16	1	2484										
189	184	2267/4	2267/4	0.25	5/16	5/16	Chord	6/8	2	1	1/16		1/16	1	2485										
189	184	567	567	0.25	3/8	3/8	Chord	6/8	2	1	1/16		1/16	1	2486										
189	184	2269/4	2269/4	0.25	7/16	7/16	Chord	6/8	2	1	1/16		1/16	1	2487										
189	184	1135/2	1135/2	0.25	1/2	1/2	Chord	6/8	2	1	1/16		1/16	1	2488										
189	184	2271/4	2271/4	0.25	9/16	9/16	Chord	6/8	2	1	1/16		1/16	1	2489										
189	184	568	568	0.25	5/8	5/8	Chord	6/8	2	1	1/16		1/16	1	2490										
189	184	2273/4	2273/4	0.25	11/16	11/16	Chord	6/8	2	1	1/16		1/16	1	2491										
190	185	1137/2	1137/2	1.5	0	0	Chord	6/8	1	1	3/8		1/4	3/2	2492										
190	185	570	570	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	2493										
190	185	571	571	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	2494										
190	185	1137/2	1137/2	1.5	0	0	Chord	6/8	1	2	3/8		1/4	3/2	2495										
190	185	570	570	1.5	3/8	3/8	Chord	6/8	1	3	3/8		1/4	3/2	2496										
190	185	570	570	1.5	3/8	3/8	Chord	6/8	1	4	3/8		1/4	3/2	2497										
190	185	1137/2	1137/2	0.25	0	0	Chord	6/8	2	1	1/16		1/16	1	2498										
190	185	2275/4	2275/4	0.25	1/16	1/16	Chord	6/8	2	1	1/16		1/16	1	2499										
190	185	569	569	0.25	1/8	1/8	Chord	6/8	2	1	1/16		1/16	1	2500										
190	185	2277/4	2277/4	0.25	3/16	3/16	Chord	6/8	2	1	1/16		1/16	1	2501										
190	185	1139/2	1139/2	0.25	1/4	1/4	Chord	6/8	2	1	1/16		1/16	1	2502										
190	185	2279/4	2279/4	0.25	5/16	5/16	Chord	6/8	2	1	1/16		1/16	1	2503										
190	185	570	570	0.25	3/8	3/8	Chord	6/8	2	1	1/16		1/16	1	2504										
190	185	2281/4	2281/4	0.25	7/16	7/16	Chord	6/8	2	1	1/16		1/16	1	2505										
190	185	1141/2	1141/2	0.25	1/2	1/2	Chord	6/8	2	1	1/16		1/16	1	2506										
190	185	2283/4	2283/4	0.25	9/16	9/16	Chord	6/8	2	1	1/16		1/16	1	2507										
190	185	571	571	0.25	5/8	5/8	Chord	6/8	2	1	1/16		1/16	1	2508										
190	185	2285/4	2285/4	0.25	11/16	11/16	Chord	6/8	2	1	1/16		1/16	1	2509										
191	186	1143/2	1143/2	1.5	0	0	Chord	6/8	1	1	3/8		1/4	3/2	2510										
191	186	574	574	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	2511										
191	186	1143/2	1143/2	1.0	0	0	Chord	6/8	1	2	1/4		1/4	1	2512										
191	186	1145/2	1145/2	0.5	1/4	1/4	Chord	6/8	1	2	1/8		1/8	1	2513										
191	186	573	573	1.0	3/8	3/8	Chord	6/8	1	2	1/4		1/4	1	2514										
191	186	574	574	0.5	5/8	5/8	Chord	6/8	1	2	1/8		1/8	1	2515										
191	186	1143/2	1143/2	0.25	0	0	Chord	6/8	2	1	1/16		1/16	1	2516										
191	186	2287/4	2287/4	0.25	1/16	1/16	Chord	6/8	2	1	1/16		1/16	1	2517										
191	186	572	572	0.25	1/8	1/8	Chord	6/8	2	1	1/16		1/16	1	2518										
191	186	2289/4	2289/4	0.25	3/16	3/16	Chord	6/8	2	1	1/16		1/16	1	2519										
191	186	1145/2	1145/2	0.25	1/4	1/4	Chord	6/8	2	1	1/16		1/16	1	2520										
191	186	2291/4	2291/4	0.25	5/16	5/16	Chord	6/8	2	1	1/16		1/16	1	2521										
191	186	573	573	0.25	3/8	3/8	Chord	6/8	2	1	1/16		1/16	1	2522										
191	186	2293/4	2293/4	0.25	7/16	7/16	Chord	6/8	2	1	1/16		1/16	1	2523										
191	186	1147/2	1147/2	0.25	1/2	1/2	Chord	6/8	2	1	1/16		1/16	1	2524										
191	186	2295/4	2295/4	0.25	9/16	9/16	Chord	6/8	2	1	1/16		1/16	1	2525										
191	186	574	574	0.25	5/8	5/8	Chord	6/8	2	1	1/16		1/16	1	2526										
191	186	2297/4	2297/4	0.25	11/16	11/16	Chord	6/8	2	1	1/16		1/16	1	2527										
192	187	1149/2	1149/2	1.5	0	0	Chord	6/8	1	1	3/8		1/4	3/2	2528										
192	187	576	576	0.0	3/8	3/8	Dynamic	6/8	1	1	0						sf								
192	187	576	576	1.5	3/8	3/8	Chord	6/8	1	1	3/8		1/4	3/2	2529				94						
192	187	1149/2	1149/2	1.5	0	0	Chord	6/8	1	2	3/8		1/4	3/2	2530										
192	187	1149/2	1149/2	0.25	0	0	Chord	6/8	2	1	1/16		1/16	1	2531										
192	187	2299/4	2299/4	0.25	1/16	1/16	Chord	6/8	2	1	1/16		1/16	1	2532										
192	187	575	575	0.25	1/8	1/8	Chord	6/8	2	1	1/16		1/16	1	2533										
192	187	2301/4	2301/4	0.25	3/16	3/16	Chord	6/8	2	1	1/16		1/16	1	2534										
192	187	1151/2	1151/2	0.25	1/4	1/4	Chord	6/8	2	1	1/16		1/16	1	2535										
192	187	2303/4	2303/4	0.25	5/16	5/16	Chord	6/8	2	1	1/16		1/16	1	2536										
192	187	576	576	0.25	3/8	3/8	Chord	6/8	2	1	1/16		1/16	1	2537										
192	187	2305/4	2305/4	0.25	7/16	7/16	Chord	6/8	2	1	1/16		1/16	1	2538										
192	187	1153/2	1153/2	0.25	1/2	1/2	Chord	6/8	2	1	1/16		1/16	1	2539										
192	187	2307/4	2307/4	0.25	9/16	9/16	Chord	6/8	2	1	1/16		1/16	1	2540										
192	187	577	577	0.25	5/8	5/8	Chord	6/8	2	1	1/16		1/16	1	2541										
192	187	2309/4	2309/4	0.25	11/16	11/16	Chord	6/8	2	1	1/16		1/16	1	2542										
193	188	1155/2	1155/2	1.5	0	0	Chord	6/8	1	1	3/8		1/4	3/2	2543										
193	188	579	579	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	2544										
193	188	580	580	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	2545										
193	188	1155/2	1155/2	1.5	0	0	Chord	6/8	1	2	3/8		1/4	3/2	2546										
193	188	579	579	1.0	3/8	3/8	Chord	6/8	1	2	1/4		1/4	1	2547										
193	188	580	580	0.5	5/8	5/8	Chord	6/8	1	2	1/8		1/8	1	2548										
193	188	1155/2	1155/2	0.25	0	0	Chord	6/8	2	1	1/16		1/16	1	2549										
193	188	2311/4	2311/4	0.25	1/16	1/16	Chord	6/8	2	1	1/16		1/16	1	2550										
193	188	578	578	0.25	1/8	1/8	Chord	6/8	2	1	1/16		1/16	1	2551										
193	188	2313/4	2313/4	0.25	3/16	3/16	Chord	6/8	2	1	1/16		1/16	1	2552										
193	188	1157/2	1157/2	0.25	1/4	1/4	Chord	6/8	2	1	1/16		1/16	1	2553										
193	188	2315/4	2315/4	0.25	5/16	5/16	Chord	6/8	2	1	1/16		1/16	1	2554										
193	188	579	579	0.25	3/8	3/8	Chord	6/8	2	1	1/16		1/16	1	2555										
193	188	2317/4	2317/4	0.25	7/16	7/16	Chord	6/8	2	1	1/16		1/16	1	2556										
193	188	1159/2	1159/2	0.25	1/2	1/2	Chord	6/8	2	1	1/16		1/16	1	2557										
193	188	2319/4	2319/4	0.25	9/16	9/16	Chord	6/8	2	1	1/16		1/16	1	2558										
193	188	580	580	0.25	5/8	5/8	Chord	6/8	2	1	1/16		1/16	1	2559										
193	188	2321/4	2321/4	0.25	11/16	11/16	Chord	6/8	2	1	1/16		1/16	1	2560										
194	189	1161/2	1161/2	1.5	0	0	Chord	6/8	1	1	3/8		1/4	3/2	2561										
194	189	582	582	0.0	3/8	3/8	Dynamic	6/8	1	1	0						sf								
194	189	582	582	1.5	3/8	3/8	Chord	6/8	1	1	3/8		1/4	3/2	2562										
194	189	1161/2	1161/2	1.5	0	0	Chord	6/8	1	2	3/8		1/4	3/2	2563										
194	189	582	582	1.5	3/8	3/8	Chord	6/8	1	2	3/8		1/4	3/2	2564										
194	189	1161/2	1161/2	0.25	0	0	Chord	6/8	2	1	1/16		1/16	1	2565										
194	189	2323/4	2323/4	0.25	1/16	1/16	Chord	6/8	2	1	1/16		1/16	1	2566										
194	189	581	581	0.25	1/8	1/8	Chord	6/8	2	1	1/16		1/16	1	2567										
194	189	2325/4	2325/4	0.25	3/16	3/16	Chord	6/8	2	1	1/16		1/16	1	2568										
194	189	1163/2	1163/2	0.25	1/4	1/4	Chord	6/8	2	1	1/16		1/16	1	2569										
194	189	2327/4	2327/4	0.25	5/16	5/16	Chord	6/8	2	1	1/16		1/16	1	2570										
194	189	582	582	0.25	3/8	3/8	Chord	6/8	2	1	1/16		1/16	1	2571										
194	189	2329/4	2329/4	0.25	7/16	7/16	Chord	6/8	2	1	1/16		1/16	1	2572										
194	189	1165/2	1165/2	0.25	1/2	1/2	Chord	6/8	2	1	1/16		1/16	1	2573										
194	189	2331/4	2331/4	0.25	9/16	9/16	Chord	6/8	2	1	1/16		1/16	1	2574										
194	189	583	583	0.25	5/8	5/8	Chord	6/8	2	1	1/16		1/16	1	2575										
194	189	2333/4	2333/4	0.25	11/16	11/16	Chord	6/8	2	1	1/16		1/16	1	2576										
195	190	1167/2	1167/2	1.5	0	0	Chord	6/8	1	1	3/8		1/4	3/2	2577										
195	190	585	585	1.0	3/8	3/8	Chord	6/8	1	1	1/4		1/4	1	2578										
195	190	586	586	0.5	5/8	5/8	Chord	6/8	1	1	1/8		1/8	1	2579										
195	190	1167/2	1167/2	1.0	0	0	Chord	6/8	1	2	1/4		1/4	1	2580										
195	190	585	585	1.0	3/8	3/8	Chord	6/8	1	2	1/4		1/4	1	2581										
195	190	586	586	0.5	5/8	5/8	Chord	6/8	1	2	1/8		1/8	1	2582										
195	190	1167/2	1167/2	0.25	0	0	Chord	6/8	2	1	1/16		1/16	1	2583										
195	190	2335/4	2335/4	0.25	1/16	1/16	Chord	6/8	2	1	1/16		1/16	1	2584										
195	190	584	584	0.25	1/8	1/8	Chord	6/8	2	1	1/16		1/16	1	2585										
195	190	2337/4	2337/4	0.25	3/16	3/16	Chord	6/8	2	1	1/16		1/16	1	2586										
195	190	1169/2	1169/2	0.25	1/4	1/4	Chord	6/8	2	1	1/16		1/16	1	2587										
195	190	2339/4	2339/4	0.25	5/16	5/16	Chord	6/8	2	1	1/16		1/16	1	2588										
195	190	585	585	0.25	3/8	3/8	Chord	6/8	2	1	1/16		1/16	1	2589										
195	190	2341/4	2341/4	0.25	7/16	7/16	Chord	6/8	2	1	1/16		1/16	1	2590										
195	190	1171/2	1171/2	0.25	1/2	1/2	Chord	6/8	2	1	1/16		1/16	1	2591										
195	190	2343/4	2343/4	0.25	9/16	9/16	Chord	6/8	2	1	1/16		1/16	1	2592										
195	190	586	586	0.25	5/8	5/8	Chord	6/8	2	1	1/16		1/16	1	2593										
195	190	2345/4	2345/4	0.25	11/16	11/16	Chord	6/8	2	1	1/16		1/16	1	2594										
196	191	1173/2	1173/2	1.5	0	0	Chord	6/8	1	1	3/8		1/4	3/2	2595										
196	191	588	588	0.0	3/8	3/8	Dynamic	6/8	1	1	0						sf								
196	191	588	588	1.5	3/8	3/8	Chord	6/8	1	1	3/8		1/4	3/2	2596										
196	191	1173/2	1173/2	1.5	0	0	Chord	6/8	1	2	3/8		1/4	3/2	2597										
