mc	mn	quarterbeats	quarterbeats_all_endings	duration_qb	volta	mc_onset	mn_onset	event	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	chord_id	lyrics_1	dynamics	articulation	slur	decrescendo_hairpin	crescendo_line	diminuendo_line	crescendo_hairpin
25	25	98	98	0.0		1/2	1/2	Spanner	4/4	1	1	0								22				0
25	25	99	99	0.0		3/4	3/4	Spanner	4/4	1	1	0								22	0			0
25	25	99	99	1.0		3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	260				22	0			0
25	25	98	98	2.0		1/2	1/2	Chord	4/4	1	2	1/2		1/2	1	261					0			0
25	25	98	98	2.0		1/2	1/2	Chord	4/4	2	1	1/2		1/2	1	262				23				
26	26	100	100	0.0		0	0	Spanner	4/4	1	1	0								22	0			
26	26	100	100	1.0		0	0	Chord	4/4	1	1	1/4		1/4	1	263				22	0			
26	26	101	101	0.0		1/4	1/4	Spanner	4/4	1	1	0												
26	26	101	101	1.0		1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	264								
26	26	102	102	0.0		1/2	1/2	Chord	4/4	1	1	0	grace16	1/16	1	265								
26	26	102	102	0.0		1/2	1/2	Chord	4/4	1	1	0	grace16	1/16	1	266								
26	26	102	102	0.0		1/2	1/2	Chord	4/4	1	1	0	grace16	1/16	1	267								
26	26	102	102	0.5		1/2	1/2	Chord	4/4	1	1	1/8		1/8	1	268				24				
26	26	205/2	205/2	0.5		5/8	5/8	Chord	4/4	1	1	1/8		1/8	1	269				24				
26	26	103	103	0.5		3/4	3/4	Chord	4/4	1	1	1/8		1/8	1	270				24				
26	26	207/2	207/2	0.5		7/8	7/8	Chord	4/4	1	1	1/8		1/8	1	271								
26	26	100	100	2.0		0	0	Chord	4/4	1	2	1/2		1/2	1	272								
26	26	100	100	2.0		0	0	Chord	4/4	2	1	1/2		1/2	1	273								
27	27	104	104	2.0		0	0	Chord	4/4	1	1	1/2		1/2	1	274								
27	27	106	106	1.0		1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	275			articStaccatoAbove	25				
27	27	107	107	1.0		3/4	3/4	Chord	4/4	1	1	1/4		1/4	1	276			articStaccatoAbove					
28	28	108	108	1.0		0	0	Chord	4/4	1	1	1/4		1/4	1	277			articStaccatoAbove	26				
28	28	109	109	1.0		1/4	1/4	Chord	4/4	1	1	1/4		1/4	1	278			articStaccatoAbove	26				
28	28	110	110	1.0		1/2	1/2	Chord	4/4	1	1	1/4		1/4	1	279			articStaccatoAbove	26				
